Funcao,Localização,Skills Necessarias,Média Salarial,separação 1,separação 2,separação 3,separação 4,Cargo
"Netvagas
3.0
Especialista de processos i
Uberlândia",Uberlândia,"Descrição:
Ensino superior completo (Engenharia, Administração, Logística, Sistemas de Informação, Ciência da Computação);
Mais de 1 ano de experiência na área de logística ou indústria;
6 Sigma & MASP;
Autocad;
Ferramentas Lean (Domínio das ferramentas Kaizen e VSM);
Mapeamento de processos (VSM);
Pacote Office Avançado;
Raciocínio lógico;



240426020249332793
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Especialista de processos i,Uberlândia,Especialista de processos i
"Intelbras
4.2
Pessoa Analista Contábil Pl - Contabilidade
São José",São José,"Vem ser INlover!
Somos uma empresa feliz que valoriza as pessoas, a inovação e o protagonismo. Nosso clima é único e quem trabalha aqui sabe disso! Acreditamos que para ter o engajamento e o melhor das pessoas é fundamental um ambiente de trabalho aberto, diverso, alegre e descontraído. Somos um time colaborativo, focado em resultados e que encanta nossos clientes internos e externos todos os dias. Além disso, simplicidade, aprendizado e compartilhamento também fazem parte da nossa cultura e queremos pessoas que venham fortalecer ainda mais. Se você se identificou, quem sabe essa é a oportunidade!
Sobre a oportunidade:
Área: Contabilidade



Mostrar mais
Visão geral da empresa
Tamanho
5.001 a 10.000 funcionários
Fundação
1976
Tipo
Empresa – capital aberto
Indústria
Fabricação de produtos eletrônicos
Setor
Manufatura
Receita
Desconhecido/Não se aplica
Classificações da empresa Intelbras
4,2
86 %
Recomendam para outras pessoas
Oportunidades de carreira
3,9
Remuneração e benefícios
3,8
Cultura e valores
4,1
Alta liderança
3,7
Qualidade de vida
3,9
Avaliações da empresa Intelbras
Prós
""Great for junior employees, and who is starting the career."" (em 3 avaliações)
""Good in work culture Good atmosphere Good work area"" (em 2 avaliações)
""Nice culture and environment, my leader was also really great."" (em 1 avaliação)
Contras
""Poor career development in short term"" (em 3 avaliações)
""Supervisor e liderança não dão apoio suficiente aos colaboradores."" (em 1 avaliação)
Benefícios da empresa Intelbras
3,9
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Participação nos Lucros e Resultados (PLR)(30 comentários)
""Ótimo benefício, estimula muito os colaboradores.""
Vale-Transporte/Fretado(27 comentários)
""Fretado só passa onde eles querem, não se importam se o colaborador mora longe ou sugere alterações na rota. Eles não ligam.""
Plano de Saúde(23 comentários)
""Ótimo benefício, estimula muito os colaboradores.""
10 de abr. de 2024
Atual Jovem Aprendiz Administrativo em São José, SC, Santa Catarina
Os benefícios são ótimos é uma empresa que preza pelo colaborador
16 de abr. de 2024
Atual Analista em São José, SC, Santa Catarina
Os benefícios são bacanas, como plano de saúde, e PPR, porém os descontos em folha, podiam ter uma redução.
10 de abr. de 2024
Atual Designer em São José, SC, Santa Catarina
Na época era padrão os benefícios oferecidos, Atualmente eles oferecem vale alimentação/refeição mas antes era apenas o restaurante da empresa.",NF,Intelbras,4.2,Pessoa Analista Contábil Pl - Contabilidade,São José,Pessoa Analista Contábil Pl - Contabilidade
"ICI – Instituto das Cidades Inteligentes
4.4
Analista de Sistemas – Especialista em IA
Curitiba",Curitiba,"Por trás de tudo o que entregamos aqui no ICI, existe uma série de profissionais imprescindíveis. Estamos buscando um Analista de Sistemas - Especialista em IA que queira fazer parte do time de inovação no desenvolvimento de soluções com Inteligência Artificial para Cidades Inteligentes.

Responsabilidades e atribuições
Realizar análise de requisitos para colaborar com as partes interessadas para entender os requisitos de negócios e definir objetivos claros para o projeto de inteligência artificial – IA;
Participar no processo de estimativa de software;














Mostrar mais
Visão geral da empresa
Tamanho
501 a 1.000 funcionários
Fundação
1998
Tipo
Empresa – capital fechado
Indústria
Soluções de software e redes corporativas
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa ICI – Instituto das Cidades Inteligentes
4,4
89 %
Recomendam para outras pessoas
Oportunidades de carreira
3,7
Remuneração e benefícios
4,3
Cultura e valores
4,3
Alta liderança
4,2
Qualidade de vida
4,4
Benefícios da empresa ICI – Instituto das Cidades Inteligentes
4,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(14 comentários)
""Um Ótimo plano de saúde. ""
Vale-Refeição(7 comentários)
""Vale refeição da mais de mil por mês ""
Plano Odontológico(7 comentários)
""Atualmente da sulamerica acho meio difícil lugares que atendem""
21 de mar. de 2024
Ex-Técnico de TI em Curitiba, Paraná
Excelentes benefícios. VR/VA muito bom e plano de saúde excelente
14 de mar. de 2024
Atual Funcionário em Curitiba, Paraná
Um bom local de trabalho.
13 de mar. de 2024
Atual Software Developer em Curitiba, Paraná
Vale alimentação,plano de saúde e odontológico",NF,ICI – Instituto das Cidades Inteligentes,4.4,Analista de Sistemas – Especialista em IA,Curitiba,Analista de Sistemas – Especialista em IA
"Base2 Tecnologia
4.8
Analista de Automação de Testes (Pleno/Sênior) - Hibrido/Belo Horizonte
Belo Horizonte",Belo Horizonte,"O que é a Base2 Tecnologia:
A Base2 é uma empresa fundada em 2005 e reconhecida como uma das melhores empresas para se trabalhar pela GPTW. Somos premiados pela nossa vertical de qualidade de software, nossa plataforma Crowdtest e estamos investindo forte nas nossas verticais de desenvolvimento e RPA.
Nosso objetivo vai além de encantar o cliente, queremos que nosso time também cresça e se desenvolva.
Nossa cultura é acompanhar de perto a carreira de cada um, alinhando as expectativas do indivíduo aos ideais da empresa. Afinal, queremos crescer junto!
Faça parte deste time!



Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2005
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
De US$ 1 a US$ 5 milhões
Classificações da empresa Base2 Tecnologia
4,8
99 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,4
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8
Benefícios da empresa Base2 Tecnologia
4,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(4 comentários)
""Oferece um excelente plano de saúde.""
Vale-Refeição(3 comentários)
""Valor dentro do que a maioria das empresas oferecem. ""
14 de mar. de 2024
Ex-Analista De Testes Pleno em Belo Horizonte, MG, Minas Gerais
A empresa possui excelentes benefícios.
13 de jan. de 2024
Atual Junior Front End Developer em Belo Horizonte, MG, Minas Gerais
Convenio unimed e cartão alimentação
10 de jan. de 2024
Ex-Analista de Testes em Belo Horizonte, MG, Minas Gerais
Vale refeição/alimentação flexível cartão flash",NF,Base2 Tecnologia,4.8,Analista de Automação de Testes (Pleno/Sênior) - Hibrido/Belo Horizonte,Belo Horizonte,Analista de Automação de Testes (Pleno/Sênior) - Hibrido/Belo Horizonte
"Base2 Tecnologia
4.8
Analista de Testes Automatizados (Pleno/Sênior) - Híbrido/SP
São Paulo",São Paulo,"O que é a Base2 Tecnologia:
A Base2 é uma empresa fundada em 2005 e reconhecida como uma das melhores empresas para se trabalhar pela GPTW. Somos premiados pela nossa vertical de qualidade de software, nossa plataforma Crowdtest e estamos investindo forte nas nossas verticais de desenvolvimento e RPA.
Nosso objetivo vai além de encantar o cliente, queremos que nosso time também cresça e se desenvolva.
Nossa cultura é acompanhar de perto a carreira de cada um, alinhando as expectativas do indivíduo aos ideais da empresa. Afinal, queremos crescer junto!
Faça parte deste time!





Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2005
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
De US$ 1 a US$ 5 milhões
Classificações da empresa Base2 Tecnologia
4,8
99 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,4
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8
Benefícios da empresa Base2 Tecnologia
4,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(4 comentários)
""Oferecem duas opções de plano de saúde""
Vale-Refeição(3 comentários)
""Vale refeição com cartão flexível. ""
14 de mar. de 2024
Ex-Analista De Testes Pleno em Belo Horizonte, MG, Minas Gerais
A empresa possui excelentes benefícios.
13 de jan. de 2024
Atual Junior Front End Developer em Belo Horizonte, MG, Minas Gerais
Convenio unimed e cartão alimentação
10 de jan. de 2024
Ex-Analista de Testes em Belo Horizonte, MG, Minas Gerais
Vale refeição/alimentação flexível cartão flash",NF,Base2 Tecnologia,4.8,Analista de Testes Automatizados (Pleno/Sênior) - Híbrido/SP,São Paulo,Analista de Testes Automatizados (Pleno/Sênior) - Híbrido/SP
"Netvagas
3.0
Desenvolvedor .net pl/sr
Curitiba",Curitiba,"Descrição:
Graduação completa em cursos relacionados a área de Tecnologia.
Experiência em .NET e .NET Core, C#, Angular, Microsserviços, desenvolvimento e manutenção de APIs.
Experiência com Kubernetes(serviços distribuídos), Rabbit MQ será um diferencial.

Desenvolvimento de aplicações internas e externas.
Aplicações em microsserviços em .Net Core 2.0/3.1, utilizando MongoDB para armazenamento, RabbitMQ e Oracle Advanced Queue para orquestração de mensagens e hospedagem em Kubernetes.

240428020249443234
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Desenvolvedor .net pl/sr,Curitiba,Desenvolvedor .net pl/sr
"Divulga Vagas - Consultoria
4.8
Contador(a) – Contabilidade De Supermercados – Fortaleza – CE - Vaga
Fortaleza",Fortaleza,"Atividades

Será responsável em atualizar Cargos, Salários, Remunerações, Mensalidades, Lançamentos de admissões, Criação de Rescisões, Lançamento de Eventos de Folha de Pagamento, Requerimento de auxilio doença, Atender e Assessorar Clientes prontamente, Conferência de documentação de Admissão, Geração de Férias, Geração de folha de pagamento e seus impostos de empregada doméstica, Lançamentos e Análise de Atestados e Afastamento, Cálculo de GPS de RPA;
Dentre outras atividades inerente ao setor.
Requisitos
Requisitos:

Ensino Superior Completo ou Cursando em Administração, Recursos Humanos ou Ciências Contábeis;
Necessário possuir solida experiência nafunção
É fundamental ter experiência no sistema Fortes
Desejável conhecimento e- social.
Desejável ter uma boa comunicação com Clientes e um bom relacionamento com Interpessoal;
Não informado
Horário a combinar
Benefícios:

Vale Alimentação (R$ 17,50 dia) + Vale Transporte + Plano de saúde com cobertura de 70% + Plano odontológico opcional + Ginástica Laboral.
Mostrar mais
Salário base
O salário mínimo é de R$ 1 mil e o salário máximo é de R$ 1 mil.
R$ 1 mil/mês (est. Empresa)
Fortaleza
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF,Divulga Vagas - Consultoria,4.8,Contador(a) – Contabilidade De Supermercados – Fortaleza – CE - Vaga,Fortaleza,Contador(a) – Contabilidade De Supermercados – Fortaleza – CE - Vaga
"Base2 Tecnologia
4.8
Analista de Testes Manuais - Salesforce (Pleno/Sênior) - Presencial/Belo Horizonte
Belo Horizonte",Belo Horizonte,"O que é a Base2 Tecnologia:
A Base2 é uma empresa fundada em 2005 e reconhecida como uma das melhores empresas para se trabalhar pela GPTW. Somos premiados pela nossa vertical de qualidade de software, nossa plataforma Crowdtest e estamos investindo forte nas nossas verticais de desenvolvimento e RPA.
Nosso objetivo vai além de encantar o cliente, queremos que nosso time também cresça e se desenvolva.
Nossa cultura é acompanhar de perto a carreira de cada um, alinhando as expectativas do indivíduo aos ideais da empresa. Afinal, queremos crescer junto!
Faça parte deste time!


Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2005
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
De US$ 1 a US$ 5 milhões
Classificações da empresa Base2 Tecnologia
4,8
99 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,4
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8
Benefícios da empresa Base2 Tecnologia
4,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(4 comentários)
""Oferece um excelente plano de saúde.""
Vale-Refeição(3 comentários)
""Valor dentro do que a maioria das empresas oferecem. ""
14 de mar. de 2024
Ex-Analista De Testes Pleno em Belo Horizonte, MG, Minas Gerais
A empresa possui excelentes benefícios.
13 de jan. de 2024
Atual Junior Front End Developer em Belo Horizonte, MG, Minas Gerais
Convenio unimed e cartão alimentação
10 de jan. de 2024
Ex-Analista de Testes em Belo Horizonte, MG, Minas Gerais
Vale refeição/alimentação flexível cartão flash",NF,Base2 Tecnologia,4.8,Analista de Testes Manuais - Salesforce (Pleno/Sênior) - Presencial/Belo Horizonte,Belo Horizonte,Analista de Testes Manuais - Salesforce (Pleno/Sênior) - Presencial/Belo Horizonte
"Netvagas
3.0
Assistente de Segurança do Trabalho
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Assistente de Segurança do Trabalho

ATIVIDADES
REQUISITOS
DIFERENCIAIS
BENEFÍCIOS

REDES SOCIAIS




240430020250905504
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Assistente de Segurança do Trabalho,Brasil,Assistente de Segurança do Trabalho
"Netvagas
3.0
Desenvolvedor p&d payloads sênior
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

*Desenvolvedor P&D Payload*


ATIVIDADES

REQUISITOS

DIFERENCIAIS

BENEFÍCIOS

REDES SOCIAIS




240426020249902182
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Desenvolvedor p&d payloads sênior,Brasil,Desenvolvedor p&d payloads sênior
"Netvagas
3.0
Coordenador(a) p&d - engenharia mecânica
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Coordenador(a) P&D - Engenharia Mecânica

ATIVIDADES
REQUISITOS
DIFERENCIAIS
BENEFÍCIOS

REDES SOCIAIS

240426020249902183
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Coordenador(a) p&d - engenharia mecânica,Brasil,Coordenador(a) p&d - engenharia mecânica
"Netvagas
3.0
Supervisor(a) p&d engenharia e produtos
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Supervisor(a) P&D - Engenharia e Produtos

ATIVIDADES
REQUISITOS
DIFERENCIAIS
BENEFÍCIOS

REDES SOCIAIS

240426020249902184
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Supervisor(a) p&d engenharia e produtos,Brasil,Supervisor(a) p&d engenharia e produtos
"Netvagas
3.0
P&d | desenhista projetista
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Desenhista Projetista - P&D

ATIVIDADES

REQUISITOS

DIFERENCIAIS

BENEFÍCIOS

REDES SOCIAIS





240503020250836295
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,P&d | desenhista projetista,Brasil,P&d | desenhista projetista
"Netvagas
3.0
P&d | supervisor(a) de engenharia eletrônica
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Supervisor (a) de Engenharia Eletrônica.


ATIVIDADES


REQUISITOS

DIFERENCIAIS

BENEFÍCIOS

REDES SOCIAIS

240426020249902180
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,P&d | supervisor(a) de engenharia eletrônica,Brasil,P&d | supervisor(a) de engenharia eletrônica
"Transaction Network Services
3.4
Sr Salesforce QA Analyst
João Pessoa",João Pessoa,"An extraordinarily talented group of individuals work together every day to drive TNS' success, from both professional and personal perspectives. Come join the excellence!
Overview
TNS has an excellent opportunity for a Sr Network Engineer! This role reports in to our Global Network Infrastructure Engineering Department and you will be responsible for providing leadership to a system-wide/cross functional team. Planning integration and implementation of new technology and guiding/contributing to the direction of multiple projects.
Responsibilities
Job responsibilities:
Mostrar mais
Visão geral da empresa
Tamanho
501 a 1.000 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
De US$ 100 a US$ 500 milhões
Classificações da empresa Transaction Network Services
3,4
52 %
Recomendam para outras pessoas
Oportunidades de carreira
3,2
Remuneração e benefícios
3,2
Cultura e valores
3,2
Alta liderança
2,9
Qualidade de vida
3,3
Avaliações da empresa Transaction Network Services
Prós
""1 Good Team 2 Work life Balance 3 Free coffee &amp; sodas 4 Descent Pay 5 good benefits"" (em 3 avaliações)
""good atmosphere cofriendly and work free."" (em 3 avaliações)
""Many opportunity to learn new things,"" (em 1 avaliação)
""Good work life balance in company."" (em 1 avaliação)
Contras
""Inexperienced managers"" (em 1 avaliação)
Benefícios da empresa Transaction Network Services
4,0
3 classificações
Avaliações de benefícios de funcionários
27 de mar. de 2024
Ex-Assistente Administrativo em João Pessoa, PB, Paraíba
O RH é muito humanizado e sempre procura escutar os funcionários e melhorar os benefícios
5 de set. de 2023
Ex-SDR em João Pessoa, PB, Paraíba
empresa maravilhosa com pessoas de qualidade na gestão. ambiente familiar e agradável.
22 de ago. de 2023
Ex-Analista Júnior em São Paulo, SP, São Paulo
Plano de Saúde, Vale Refeição, GymPass",NF,Transaction Network Services,3.4,Sr Salesforce QA Analyst,João Pessoa,Sr Salesforce QA Analyst
"Netvagas
3.0
Comercial | consultor(a) técnico de vendas em serviços
Brasil",Brasil,"Descrição:

JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, XMobotianos (as) que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTSMISSÃO
VISÃO
VALORES

Consultor(a) Técnico de Vendas em Serviços

ATIVIDADES

REQUISITOS

BENEFÍCIOS

REDES SOCIAIS




240426020249817579
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Comercial | consultor(a) técnico de vendas em serviços,Brasil,Comercial | consultor(a) técnico de vendas em serviços
"XMobots
3.3
P&D | Desenhista Mecânico
São Carlos",São Carlos,"JUNTOS TRANSFORMAMOS O PRESENTE!

Somos especializados no desenvolvimento e fabricação de RPA (Remotely Piloted Aircrafts), sendo a maior empresa brasileira e latino-americana do segmento.
Fazer parte do surgimento e da consolidação de uma nova tecnologia, contribuir para seu aprimoramento e impactar vidas nos enche de orgulho e de vontade de querer fazer sempre mais. Não é ficção, realmente fazemos robótica!
Atualmente, a companhia conta com mais de 500 colaboradores, “XMobotianos (as)” que visam tornar a robótica móvel uma realidade cotidiana para todos!

XMobots é o acrônimo de Xtreme MObile RoBOTS





Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa XMobots
3,0
46 %
Recomendam para outras pessoas
Oportunidades de carreira
3,7
Remuneração e benefícios
3,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,6
Benefícios da empresa XMobots
1,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Estacionamento(5 comentários)
""Espaço amplo e seguro para os funcionários""
Jornada flexível(3 comentários)
""O banco flexível é bom para ter ajuda nas atividades externas""
13 de mar. de 2024
Atual Funcionário em São Carlos, SP, São Paulo
Alimentacao, refeicao, transporte e só
29 de fev. de 2024
Atual Supervisora em São Carlos, SP, São Paulo
VA, VR, auxilio combustível, plano de saude
12 de fev. de 2024
Atual Coordenador de Produção em São Carlos, SP, São Paulo
Muito bom, excelentes planos para os funcionários",NF,XMobots,3.3,P&D | Desenhista Mecânico,São Carlos,P&D | Desenhista Mecânico
"Netvagas
3.0
Analista de risco corporativo senior - londrina/pr
Londrina",Londrina,"Descrição:
Para ser um candidato aderente à essa vaga, você deve ter:

Formação superior completa em Ciências Contábeis, Administração ou Economia;
Experiência significativa com auditoria interna/externa, controle interno;
Conhecimento intermediário em pacote office com foco em Excel intermediário (tabela dinâmica);
Perfil analítico e comunicação assertiva e visão crítica;
Inglês avançado (conversação).



240503020250868114
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
3,0
50 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,4
Cultura e valores
2,7
Alta liderança
2,6
Qualidade de vida
2,4",NF,Netvagas,3,Analista de risco corporativo senior - londrina/pr,Londrina,Analista de risco corporativo senior - londrina/pr
